Python开发工程师---0401,15k-25k ,深圳,"
经验3-5年","
本科及以上","
        职责描述：
    1. 协助完成金融类数据的建模；
    2. 负责金融类数据清洗、整合，分析及挖掘；
    3. 负责金融类数据的对外服务。
任职要求：
    1. 全日制统招本科及以上学历，计算机相关专业，3年以上相关工作经验；
    2. 熟练掌握 python 基础知识；熟练使用 celery、rq 等分布式框架；
    3. 熟悉使用正则表达式；
    4. 熟悉 graphic 数据库（ DGraph、neo4j 等）；
    5. 熟悉 noSql 数据库 mongo，redis 等；
    6. 熟悉关系型数据库 mysql 等；
    7. 熟悉使用搜索引擎工具（ elasticsearch 等）；
    8. 熟练使用tornado等web框架；
    9. 熟悉使用 spark 大数据平台者优先；
    10. 熟悉机器学习和数据挖掘等算法的原理及使用者优先；
    11. 有项目管理经验者优先。
        "
Python/Go开发工程师,15k-30k ,北京,"
经验1-3年","
本科及以上","
        职位描述：
1. 负责新浪内容平台系统研发2. 负责海量数据抓取、处理、存储、检索等设计、开发、优化
3. 参与高并发读写技术架构设计、开发、优化
 
任职要求：1. 计算机、软件相关专业本科或以上学历，2年以上工作经验2. 熟悉python、GO等一种以上开发语言3. 擅长数据库、缓存、队列、搜索等一种以上后端技术设计和优化能力4. 熟悉Linux\Unix，熟悉shell5. 具有良好的主观能动性、学习能力、时间和流程意识、沟通能力、团队合作精神
6. 了解机器学习，能通过深度学习方面的知识对文本、图像、视频进行处理的更佳
        "
python开发工程师,25k-50k ,北京,"
经验5-10年","
本科及以上","
        工作内容： 
1、负责python开发工作，自动化工具开发，以及平台服务维护和产品迭代；
2、各种运维业务平台方向的产品需求分析和代码实现；
3、大数据采集、分析、呈现；
4、推进产品的CI/CD和微服务化；
5、负责基础设施的架构优化，稳定性保障，性能提升等。

任职资格：
1、计算机或相关专业本科以上学历，5年以上相关经验；
2、熟练使用linux/unix平台开发；
3、精通Python，熟练使用一种WEB框架，例如django, webpy, tornado；
4、理解HTTP、DNS等常见服务原理；
5、精通mysql等关系数据库，熟练使用mongodb等nosql数据库；
6、熟悉javascript、css前端技术，掌握jquery bootstrap等常用框架；
7、熟练掌握多进程及进程间通信。 
        "
高级Python工程师,15k-25k ,杭州,"
经验3-5年","
本科及以上","
        岗位职责：
1、负责基于FreeSwitch的通讯平台功能开发
2、负责呼叫系统的技术架构设计、方案实现；
3、负责Freeswitch与客户端通讯过程中疑难问题的排查和解决

岗位要求：
1.统招本科及以上学历，至少三年以上 Python 开发经验
2.熟悉 TCP/IP 协议, 熟练掌握Linux下socket编程、多线程编程，有网络服务编程、freeswitch开发经验者优先
3.熟悉 Django/flask等, 了解 HTTP 协议, 有 Web 应用程序开发经验;
4.了解数据库原理, 至少熟悉 MySQL 数据库，熟悉python正则匹配使用
5.熟悉 Linux, 对 CentOS 有深入了解,有丰富数据库使用经验者优先
6.良好的编码风格和编程习惯，熟练掌握 SVN，Git 等代码版本管理工具
        "
中高级python后台工程师,18k-30k ,广州,"
经验3-5年","
本科及以上","
        岗位职责：
1、与产品经理、架构师、前端工程师等紧密合作，共同交付功能完善、稳定可靠的SaaS产品；
2、参与后台系统代码设计与开发,使用敏捷产品开发流程来确保功能按时交付；
3、编写、审查和维护技术文档；
4、研究和评估新技术和框架,持续改善和提高产品的性能、灵活性及稳定性。

任职资格：
1、计算机相关专业，本科及以上学历，3年以上后台开发工作经验；
2、精通Python、Java等后台开发语言的一种或多种；
3、精通MySQL，MongoDB，Redis等数据库；
4、熟悉Apache，Nginx，Tomcat；
5、熟悉Flask，Django等后台开发框架；
6、精通面向对象的分析与设计，精通设计模式；
7、有激情，有创造力，喜欢研究新技术，沟通能力良好。
        "
高级Python后端研发工程师,10k-15k ,上海,"
经验1-3年","
本科及以上","
        岗位职责：
1. 负责斗象科技企业级安全产品相关平台及后端引擎设计与研发工作；
2. 对现有系统的不足进行分析，找到系统瓶颈，持续改进系统架构，提高系统性能。

任职要求：
1. 计算机相关专业，本科以及以上学历 ，1年以上工作经验，对技术研发有极大的热情；
2. 熟悉Linux及计算机网络，熟悉Python或Java等至少一种后端开发语言，有后端产品研发经验；
3. 熟悉分布式系统的设计和应用，熟悉分布式、缓存、消息等机制；
4. 有较强的逻辑思维能力，对技术有强烈的兴趣，具有良好的学习能力；
5. 有良好的沟通能力和代码编写规范习惯；
6. 具有良好的团队合作能力。

加分项：
有Spark，Hadoop相关开发经验的优先考虑。

来点儿福利：
双休、三餐补助、五险一金、年终奖、健康体检、带薪年假、福利病假、员工活动经费、半年一次国内旅游、员工生日会、季度优秀员工奖、过年过节礼品、日常工作中提供零食、咖啡、冷饮免费供应等相关福利。

 具有竞争力的薪水；           
  GeekPlace、硅谷范儿又不失小清新的工作环境；
 让你出其不意又精彩纷呈的节假日活动；
 优秀员工期权激励计划等。

当然，以上都不重要！
重要的是，斗象科技给你带来的成长：

 朝阳行业，学习更多最新前沿知识，结识更多**人物和事物；
 了解国内安全动态及其背后的故事，让你拥有更敏锐的趋势判断，前提如果你够努力；
 兼具面向企业与面向用户的业务，职场成长经验多倍加成！ 

        "
Python后端研发工程师,15k-30k ,上海,"
经验3-5年","
本科及以上","
        职位诱惑：
互联网公司,弹性上班,带薪年假,期权激励
职位描述：
岗位职责：
1. 负责斗象科技企业级安全产品相关平台及后端引擎设计与研发工作；
2. 对现有系统的不足进行分析，找到系统瓶颈，持续改进系统架构，提高系统性能；
3. 精确理解产品功能，研发业界最先进的风险感知产品，在满足产品需求外，持续提升后端基础设施处理效率、成本和稳定性。

任职要求：
1. 计算机相关专业，本科以及以上学历 ，3年以上工作经验，对技术研发有极大的热情；
2. 熟悉Linux及计算机网络，熟悉Python或Java等至少一种后端开发语言，有后端产品研发经验；
3. 熟悉分布式系统的设计和应用，熟悉分布式、缓存、消息等机制；能对分布式常用技术进行合理应用，解决问题；
4. 掌握多线程及高性能的设计与编码及性能调优；有高并发应用开发经验优先； 
5. 具有一定的技术架构思维，确保设计的技术方案、开发的代码有较高性能、质量保障、扩展性，前瞻性；
6. 对技术有较强的钻研及学习精神，能够深入了解开源技术、现有系统技术等相关技术原理，出现问题时能够通过较强的技术手段较好的解决问题。

来点儿福利：
双休、三餐补助、五险一金、年终奖、健康体检、带薪年假、福利病假、员工活动经费、半年一次国内旅游、员工生日会、季度优秀员工奖、过年过节礼品、日常工作中提供零食、咖啡、冷饮免费供应等相关福利。
具有竞争力的薪水；           
GeekPlace、硅谷范儿又不失小清新的工作环境；
让你出其不意又精彩纷呈的节假日活动；
优秀员工期权激励计划等。
当然，以上都不重要！
重要的是，斗象科技给你带来的成长：
朝阳行业，学习更多最新前沿知识，结识更多**人物和事物；
了解国内安全动态及其背后的故事，让你拥有更敏锐的趋势判断，前提如果你够努力；
兼具面向企业与面向用户的业务，职场成长经验多倍加成！ 
        "
Python工程师,20k-30k ,北京,"
经验3-5年","
本科及以上","
        [工作职责]
1. 设计与开发高并发、高可用的服务端系统，支撑业务稳定、快速的发展；
2.  分析现有系统的潜在问题、性能、稳定性等，自我驱动并改进，满足不同阶段的用户增长需求。
3. 分析现有系统的算法、策略效果等，基于数据发现并提出更好的解决方案，提升用户体验。
[岗位要求]
1. 统招本科及以上学历，计算机相关专业；
2. 有扎实的计算机基础，熟悉常用数据结构、算法、设计模式；
3. 熟练掌握 Python/Go/Java/C++ 其中一种语言，良好的编码风格，强悍的编码能力，有代码洁癖者加分；
4. 熟悉 Linux 开发环境，熟悉 Mysql/Tidb, Redis, Mongodb, Kafka, ElasticSearch等常用开源组件；
        "
python开发工程师,15k-25k ,上海,"
经验1-3年","
本科及以上","
        工作职责:1、负责 Python 后端服务开发，解决业务逻辑和数据产品相关业务;2、 负责算法工程化，对接外部应用和数据源；3、负责搭建和维护后台服务;4、负责服务 API 开发；5、遵守公司规章制度以及相关法律法规。 任职资格: 1、 统招本科及以上学历，3 年以上 Python 后端开发经验，精通Flask/Django/tornado 等框 架；2、熟悉网络编程，熟悉 tcp，http 等通讯协议，算法基础扎实，代码规范良好。熟练使用 pandas,numpy,regex 等；3、熟悉 mysql、redis 等常用储存方案及基本原理，能够独立地合理设计数据库结构；4、熟悉 Linux 系统结构，并熟练使用各种 linux 操作系统命令；5、良好的编码习惯，熟悉 RESTFul;6、有微服务、工业领域、电子制造领域、图形图像处理领域经验者优先;7、 抗压能力较强，良好的团队合作精神,有责任感,有较好的沟通能力,主动性强，效率较高。加分项： 1、具备前端能力（HTML/CSS、JavaScript）能力优先；                2、具备电子领域经验，了解电子设计相关基础知识，了解 PCBA 生产工艺和流程；                3、了解 Altium Designer,Cadence,Eagle 等中一种或多种 PCB 设计软件的使用。
        "
python开发工程师,20k-40k ,深圳,"
经验3-5年","
本科及以上","
        岗位职责：
负责公司级研发及运营平台的开发，致力于提升公司在具体领域内的研发及运营效率，服务于公司所有研发&运维人员，涉及的内容包括软件源、配置中心等；负责研发效能相关平台的研发，致力于提升基础的研发效率，涉及的内容包括CI、发布、监控、日志数据平台等；负责运营体系、运营平台的建设，致力于提升部门业务的运营效率、运营质量。

岗位要求：
精通Unix/Linux操作系统、Bash、C/C++，良好的编码规范； 具备2年以上开发经验，至少熟悉1种开发语言：PHP、Java、Rubby、Python、Perl； 具有良好的学习能力、沟通能力、服务理念和合作精神； 强烈的责任心与主动性，对所负责工作有owner意识，并能自我驱动成长； 有数据仓库建设经验，熟悉python和web前端开发优先； 有运维自动化、监控系统、发布系统、运营支撑系统等开发经验者优先； 有大型分布式系统设计与开发经验者优先；
        "
Python开发工程师,20k-30k ,杭州,"
经验3-5年","
本科及以上","
        岗位职责：
1、与算法、数据、产品等部门密切合作； 
2、开发可靠,高效准确的数据集市,并提供技术支持；
3、进行算法平台的需求分析，方案设计；
4、研究并实践前沿软件技术。

岗位要求： 
1、本科（统招）及以上学历，精通Python，三年以上开发经验； 
2、熟悉MySQL、MongoDB数据库、数据建模、数据处理调优； 
3、熟悉基于Spark、ElasticSearch、HBase 等大数据平台的相关开发;
4、有一定的数据分析和挖掘能力，能从海量数据提炼核心结果，及时发现和分析其中隐含的变化和问题；
5、高度责任心，积极主动，良好的团队协作精神和执行力，较强的分析问题和解决问题能力； 
6、具有成熟的数据平台搭建经验优先。
        "
